review_text,sentiment
"This product is absolutely wonderful and exceeded all my expectations",positive
"Terrible quality broke after one day very disappointed",negative
"Average product nothing special but works fine",neutral
"Best purchase I have made this year highly recommend",positive
"Worst customer service ever will never buy again",negative
"The delivery was fast and packaging was excellent",positive
"Completely useless waste of money do not buy",negative
"Good value for money meets basic needs",neutral
"Amazing features and easy to use love it",positive
"Poor build quality fell apart immediately",negative
"Decent product for the price point",neutral
"Outstanding performance far better than competitors",positive
"Misleading description product does not match ads",negative
"Okay experience neither good nor bad",neutral
"Fantastic support team resolved my issue quickly",positive
"Defective unit returned twice still broken",negative
"Acceptable for occasional use not for professionals",neutral
"Incredible design and flawless functionality",positive
"Overpriced and underdelivers on promises",negative
"Fine for beginners advanced users should look elsewhere",neutral
